season,week,franchise_id,player_id,contractYear,status,salary,contractInfo,as_of
2025,3,0001,14892,2,ROSTER,6.96,2023 iEXT,2025-09-22
2025,3,0001,13723,2,ROSTER,7.26,2023 SRFA,2025-09-22
2025,3,0001,16226,2,ROSTER,1.91,2023 2.06,2025-09-22
2025,3,0001,14405,2,ROSTER,9.12,2023 iEXT,2025-09-22
2025,3,0001,13590,1,ROSTER,9.33,2021 EXT,2025-09-22
2025,3,0001,15366,3,ROSTER,6.64,2024 B/R,2025-09-22
2025,3,0001,13629,1,ROSTER,14.11,2024 B/R,2025-09-22
2025,3,0001,14797,2,ROSTER,11.88,2024 UFA,2025-09-22
2025,3,0001,16627,3,ROSTER,2.75,2024 1.12,2025-09-22
2025,3,0001,16598,3,ROSTER,1.06,2024 4.06,2025-09-22
2025,3,0001,14947,2,ROSTER,3.56,2024 UFA,2025-09-22
2025,3,0001,15806,1,ROSTER,2.89,2022 1.15,2025-09-22
2025,3,0001,16661,3,ROSTER,1.02,2024 4.13,2025-09-22
2025,3,0001,12620,2,ROSTER,30.53,2021 EXT,2025-09-22
2025,3,0001,14412,1,ROSTER,7.59,2024 oEXT,2025-09-22
2025,3,0001,16704,3,ROSTER,1.09,2024 4.02,2025-09-22
2025,3,0001,11769,2,ROSTER,1.0,2025 R/F,2025-09-22
2025,3,0001,13738,2,ROSTER,1.0,2025 R/F,2025-09-22
2025,3,0001,15950,2,ROSTER,1.0,2025 R/F,2025-09-22
2025,3,0001,14893,1,ROSTER,1.1,2024 ERFA,2025-09-22
2025,3,0001,16279,1,ROSTER,1.1,2025 ERFA,2025-09-22
2025,3,0001,13839,3,ROSTER,15.0,2025 RRFA,2025-09-22
2025,3,0001,11222,1,ROSTER,7.0,2025 RRFA,2025-09-22
2025,3,0001,12801,2,ROSTER,28.5,2025 B/R,2025-09-22
2025,3,0001,15331,2,ROSTER,4.12,2024 iEXT,2025-09-22
2025,3,0001,17097,4,ROSTER,0.95,2025 5.08,2025-09-22
2025,3,0001,17031,4,ROSTER,1.06,2025 4.02,2025-09-22
2025,3,0001,17102,4,ROSTER,3.33,2025 1.10,2025-09-22
2025,3,0001,17148,4,ROSTER,1.04,2025 4.04,2025-09-22
2025,3,0001,17115,4,ROSTER,1.3,2025 3.05,2025-09-22
2025,3,0001,17131,4,ROSTER,1.17,2025 3.13,2025-09-22
2025,3,0001,17072,4,ROSTER,2.05,2025 2.03,2025-09-22
2025,3,0001,13782,1,ROSTER,1.8,2025 UFA,2025-09-22
2025,3,0001,16287,1,ROSTER,1.8,2025 UFA,2025-09-22
2025,3,0001,10266,2,ROSTER,12.35,2025 UFA,2025-09-22
2025,3,0001,12956,1,ROSTER,1.8,2025 UFA,2025-09-22
2025,3,0001,15365,1,ROSTER,8.7,2025 UFA,2025-09-22
2025,3,0001,16164,1,ROSTER,1.36,2023 3.06,2025-09-22
2025,3,0001,12767,2,ROSTER,2.57,2024 UFA,2025-09-22
2025,3,0001,17126,4,ROSTER,1.2,2025 3.11,2025-09-22
2025,3,0001,14219,1,ROSTER,1.8,2025 UFA,2025-09-22
2025,3,0001,15881,1,ROSTER,1.8,2025 UFA,2025-09-22
2025,3,0001,14170,1,ROSTER,1.8,2025 UFA,2025-09-22
2025,3,0001,15121,1,ROSTER,1.1,2025 UFA,2025-09-22
2025,3,0001,13143,1,ROSTER,1.8,2025 UFA,2025-09-22
2025,3,0001,16165,2,INJURED_RESERVE,1.34,2023 3.07,2025-09-22
2025,3,0001,14200,1,INJURED_RESERVE,1.1,2024 R/F,2025-09-22
2025,3,0002,14153,2,ROSTER,14.69,2025 oEXT,2025-09-22
2025,3,0002,15794,1,ROSTER,5.35,2022 3.06^,2025-09-22
2025,3,0002,15853,1,ROSTER,1.18,2022 4.12,2025-09-22
2025,3,0002,15762,1,ROSTER,3.23,2022 1.13,2025-09-22
2025,3,0002,15261,1,ROSTER,8.68,2025 oEXT,2025-09-22
2025,3,0002,16262,2,ROSTER,1.12,2023 4.09,2025-09-22
2025,3,0002,15756,1,ROSTER,5.75,2022 1.06,2025-09-22
2025,3,0002,14802,2,ROSTER,17.6,2024 iEXT,2025-09-22
2025,3,0002,14779,4,ROSTER,15.14,2023 iEXT,2025-09-22
2025,3,0002,16251,2,ROSTER,1.1,2023 4.15,2025-09-22
2025,3,0002,14832,3,ROSTER,37.73,2024 NEFToff,2025-09-22
2025,3,0002,12225,1,ROSTER,11.5,2024 B/R,2025-09-22
2025,3,0002,16655,3,ROSTER,1.42,2024 2.16,2025-09-22
2025,3,0002,13837,2,ROSTER,10.0,2024 UFA,2025-09-22
2025,3,0002,14249,1,ROSTER,7.5,2024 UFA,2025-09-22
2025,3,0002,14894,2,ROSTER,1.87,2024 UFA,2025-09-22
